CONFIG: ticks=10000 ptrmode=shared pool=on layout=multimap
TRADE | AAPL @ 141.891 x100 | ts=5349417640198100
TRADE | AAPL @ 191.227 x100 | ts=5349417640217000
TRADE | AAPL @ 154.225 x100 | ts=5349417640231200
TRADE | AAPL @ 135.571 x100 | ts=5349417640251600
TRADE | AAPL @ 165.867 x100 | ts=5349417640280300
TRADE | AAPL @ 187.682 x100 | ts=5349417640310700
TRADE | AAPL @ 120.981 x100 | ts=5349417640333300
TRADE | AAPL @ 102.472 x100 | ts=5349417640416500
TRADE | AAPL @ 134.114 x100 | ts=5349417640431200
TRADE | AAPL @ 130.18 x100 | ts=5349417640453300
TRADE | AAPL @ 128.847 x100 | ts=5349417640496700
TRADE | AAPL @ 160.114 x100 | ts=5349417640510800
TRADE | AAPL @ 137.183 x100 | ts=5349417640525000
TRADE | AAPL @ 169.553 x100 | ts=5349417640539100
TRADE | AAPL @ 125.176 x100 | ts=5349417640560300
TRADE | AAPL @ 115.281 x100 | ts=5349417640581700
TRADE | AAPL @ 106.957 x100 | ts=5349417640610600
TRADE | AAPL @ 175.578 x100 | ts=5349417640624700
TRADE | AAPL @ 150.079 x100 | ts=5349417640646400
TRADE | AAPL @ 129.629 x100 | ts=5349417640682700
TRADE | AAPL @ 117.93 x100 | ts=5349417640712000
TRADE | AAPL @ 169.027 x100 | ts=5349417640726100
TRADE | AAPL @ 113.038 x100 | ts=5349417640791700
TRADE | AAPL @ 152.223 x100 | ts=5349417640806400
TRADE | AAPL @ 130.211 x100 | ts=5349417640829700
TRADE | AAPL @ 154.07 x100 | ts=5349417640852600
TRADE | AAPL @ 120.834 x100 | ts=5349417640896700
TRADE | AAPL @ 164.201 x100 | ts=5349417640911200
TRADE | AAPL @ 120.286 x100 | ts=5349417640940600
TRADE | AAPL @ 137.147 x100 | ts=5349417640955200
TRADE | AAPL @ 120.636 x100 | ts=5349417640969400
TRADE | AAPL @ 134.054 x100 | ts=5349417640998600
TRADE | AAPL @ 100.689 x100 | ts=5349417641013400
TRADE | AAPL @ 165.57 x100 | ts=5349417641027300
TRADE | AAPL @ 104.721 x100 | ts=5349417641041300
TRADE | AAPL @ 110.121 x100 | ts=5349417641077600
TRADE | AAPL @ 175.207 x100 | ts=5349417641091700
TRADE | AAPL @ 124.704 x100 | ts=5349417641210700
TRADE | AAPL @ 134.008 x100 | ts=5349417641249300
TRADE | AAPL @ 140.228 x100 | ts=5349417641272000
TRADE | AAPL @ 153.011 x100 | ts=5349417641295300
TRADE | AAPL @ 124.334 x100 | ts=5349417641310800
TRADE | AAPL @ 153.857 x100 | ts=5349417641325300
TRADE | AAPL @ 159.745 x100 | ts=5349417641347100
TRADE | AAPL @ 130.246 x100 | ts=5349417641378600
TRADE | AAPL @ 160.5 x100 | ts=5349417641407100
TRADE | AAPL @ 147.351 x100 | ts=5349417641446500
TRADE | AAPL @ 128.697 x100 | ts=5349417641463300
TRADE | AAPL @ 164.388 x100 | ts=5349417641477900
TRADE | AAPL @ 101.712 x100 | ts=5349417641506800
TRADE | AAPL @ 139.413 x100 | ts=5349417641521000
TRADE | AAPL @ 131.946 x100 | ts=5349417641581800
TRADE | AAPL @ 142.072 x100 | ts=5349417641597700
TRADE | AAPL @ 132.654 x100 | ts=5349417641611800
TRADE | AAPL @ 111.162 x100 | ts=5349417641633500
TRADE | AAPL @ 109.795 x100 | ts=5349417641654900
TRADE | AAPL @ 168.347 x100 | ts=5349417641668700
TRADE | AAPL @ 120.411 x100 | ts=5349417641698100
TRADE | AAPL @ 113.571 x100 | ts=5349417641720500
TRADE | AAPL @ 119.694 x100 | ts=5349417641742300
TRADE | AAPL @ 136.492 x100 | ts=5349417641756400
TRADE | AAPL @ 122.945 x100 | ts=5349417641785600
TRADE | AAPL @ 148.8 x100 | ts=5349417641829300
TRADE | AAPL @ 118.646 x100 | ts=5349417641858200
TRADE | AAPL @ 134.52 x100 | ts=5349417642988000
TRADE | AAPL @ 142.41 x100 | ts=5349417643064200
TRADE | AAPL @ 123.42 x100 | ts=5349417643085400
TRADE | AAPL @ 176.82 x100 | ts=5349417643104200
TRADE | AAPL @ 136.531 x100 | ts=5349417643133100
TRADE | AAPL @ 126.578 x100 | ts=5349417643163500
TRADE | AAPL @ 136.049 x100 | ts=5349417643194000
TRADE | AAPL @ 103.255 x100 | ts=5349417643234700
TRADE | AAPL @ 173.87 x100 | ts=5349417643275500
TRADE | AAPL @ 118.485 x100 | ts=5349417643297600
TRADE | AAPL @ 100.18 x100 | ts=5349417643328700
TRADE | AAPL @ 156.71 x100 | ts=5349417643370500
TRADE | AAPL @ 176.831 x100 | ts=5349417643418700
TRADE | AAPL @ 105.336 x100 | ts=5349417643442500
TRADE | AAPL @ 167.924 x100 | ts=5349417643486400
TRADE | AAPL @ 108.125 x100 | ts=5349417643507000
TRADE | AAPL @ 104.683 x100 | ts=5349417643540000
TRADE | AAPL @ 113.384 x100 | ts=5349417643572700
TRADE | AAPL @ 176.562 x100 | ts=5349417643618900
TRADE | AAPL @ 178.13 x100 | ts=5349417643654600
TRADE | AAPL @ 121.563 x100 | ts=5349417643675600
TRADE | AAPL @ 181.021 x100 | ts=5349417643695500
TRADE | AAPL @ 169.66 x100 | ts=5349417643751000
TRADE | AAPL @ 114.278 x100 | ts=5349417643774300
TRADE | AAPL @ 172.258 x100 | ts=5349417643819100
TRADE | AAPL @ 118.377 x100 | ts=5349417643842700
TRADE | AAPL @ 146.311 x100 | ts=5349417643887500
TRADE | AAPL @ 151.537 x100 | ts=5349417643925000
TRADE | AAPL @ 139.667 x100 | ts=5349417643981900
TRADE | AAPL @ 150.337 x100 | ts=5349417644016900
TRADE | AAPL @ 142.23 x100 | ts=5349417644052400
TRADE | AAPL @ 156.539 x100 | ts=5349417644107400
TRADE | AAPL @ 157.981 x100 | ts=5349417644166700
TRADE | AAPL @ 111.49 x100 | ts=5349417644191000
TRADE | AAPL @ 133.243 x100 | ts=5349417644225300
TRADE | AAPL @ 138.143 x100 | ts=5349417644255700
TRADE | AAPL @ 152.613 x100 | ts=5349417644322700
TRADE | AAPL @ 152.39 x100 | ts=5349417644357600
TRADE | AAPL @ 117.794 x100 | ts=5349417644378500
TRADE | AAPL @ 162.501 x100 | ts=5349417644399900
TRADE | AAPL @ 139.722 x100 | ts=5349417644422400
TRADE | AAPL @ 164.719 x100 | ts=5349417644466000
TRADE | AAPL @ 140.043 x100 | ts=5349417644548900
TRADE | AAPL @ 114.145 x100 | ts=5349417644574500
TRADE | AAPL @ 160.646 x100 | ts=5349417644647000
TRADE | AAPL @ 168.685 x100 | ts=5349417644682800
TRADE | AAPL @ 144.902 x100 | ts=5349417644729200
TRADE | AAPL @ 103.347 x100 | ts=5349417644788500
TRADE | AAPL @ 162.281 x100 | ts=5349417644812400
TRADE | AAPL @ 109.037 x100 | ts=5349417644835000
TRADE | AAPL @ 163.97 x100 | ts=5349417644857400
TRADE | AAPL @ 132.931 x100 | ts=5349417644899100
TRADE | AAPL @ 166.88 x100 | ts=5349417644962900
TRADE | AAPL @ 173.535 x100 | ts=5349417645017000
TRADE | AAPL @ 106.982 x100 | ts=5349417645039700
TRADE | AAPL @ 112.296 x100 | ts=5349417645105900
TRADE | AAPL @ 110.011 x100 | ts=5349417645226600
