CONFIG: ticks=10000 ptrmode=shared pool=on layout=multimap
TRADE | AAPL @ 157.026 x100 | ts=5349412089733600
TRADE | AAPL @ 190.045 x100 | ts=5349412089761800
TRADE | AAPL @ 140.935 x100 | ts=5349412089845200
TRADE | AAPL @ 137.955 x100 | ts=5349412089877700
TRADE | AAPL @ 153.769 x100 | ts=5349412089912500
TRADE | AAPL @ 109.185 x100 | ts=5349412089933700
TRADE | AAPL @ 120.021 x100 | ts=5349412089965900
TRADE | AAPL @ 128.973 x100 | ts=5349412090002200
TRADE | AAPL @ 132.496 x100 | ts=5349412090034500
TRADE | AAPL @ 144.218 x100 | ts=5349412090109500
TRADE | AAPL @ 114.349 x100 | ts=5349412090161200
TRADE | AAPL @ 108.317 x100 | ts=5349412090189000
TRADE | AAPL @ 149.804 x100 | ts=5349412090202500
TRADE | AAPL @ 136.185 x100 | ts=5349412090243600
TRADE | AAPL @ 132.04 x100 | ts=5349412090270800
TRADE | AAPL @ 123.784 x100 | ts=5349412090291500
TRADE | AAPL @ 163.231 x100 | ts=5349412090304700
TRADE | AAPL @ 166.65 x100 | ts=5349412090324800
TRADE | AAPL @ 104.83 x100 | ts=5349412090353100
TRADE | AAPL @ 132.365 x100 | ts=5349412090381300
TRADE | AAPL @ 163.661 x100 | ts=5349412090402900
TRADE | AAPL @ 131.004 x100 | ts=5349412090424200
TRADE | AAPL @ 156.415 x100 | ts=5349412090452500
TRADE | AAPL @ 170.66 x100 | ts=5349412090470800
TRADE | AAPL @ 100.701 x100 | ts=5349412090486500
TRADE | AAPL @ 131.441 x100 | ts=5349412090547400
TRADE | AAPL @ 162.054 x100 | ts=5349412090597900
TRADE | AAPL @ 134.452 x100 | ts=5349412090611900
TRADE | AAPL @ 146.688 x100 | ts=5349412090640100
TRADE | AAPL @ 168.076 x100 | ts=5349412090692500
TRADE | AAPL @ 143.265 x100 | ts=5349412090705700
TRADE | AAPL @ 169.749 x100 | ts=5349412090718700
TRADE | AAPL @ 103.849 x100 | ts=5349412090731700
TRADE | AAPL @ 170.729 x100 | ts=5349412090758700
TRADE | AAPL @ 163.395 x100 | ts=5349412090771600
TRADE | AAPL @ 173.989 x100 | ts=5349412090785100
TRADE | AAPL @ 153.812 x100 | ts=5349412090824000
TRADE | AAPL @ 100.561 x100 | ts=5349412090853800
TRADE | AAPL @ 105.301 x100 | ts=5349412090903500
TRADE | AAPL @ 143.736 x100 | ts=5349412090917500
TRADE | AAPL @ 122.176 x100 | ts=5349412090939400
TRADE | AAPL @ 173.902 x100 | ts=5349412090961900
TRADE | AAPL @ 124.242 x100 | ts=5349412090990000
TRADE | AAPL @ 101.425 x100 | ts=5349412091025800
TRADE | AAPL @ 119.063 x100 | ts=5349412091079200
TRADE | AAPL @ 161.52 x100 | ts=5349412091096300
TRADE | AAPL @ 175.294 x100 | ts=5349412091117400
TRADE | AAPL @ 119.487 x100 | ts=5349412091131600
TRADE | AAPL @ 120.17 x100 | ts=5349412091166700
TRADE | AAPL @ 174.595 x100 | ts=5349412091181700
TRADE | AAPL @ 175.333 x100 | ts=5349412091217700
TRADE | AAPL @ 128.987 x100 | ts=5349412091246700
TRADE | AAPL @ 175.775 x100 | ts=5349412091260300
TRADE | AAPL @ 133.246 x100 | ts=5349412091274100
TRADE | AAPL @ 130.315 x100 | ts=5349412091295100
TRADE | AAPL @ 146.364 x100 | ts=5349412091337400
TRADE | AAPL @ 147.559 x100 | ts=5349412091358600
TRADE | AAPL @ 129.44 x100 | ts=5349412091386800
TRADE | AAPL @ 131.67 x100 | ts=5349412091429300
TRADE | AAPL @ 102.549 x100 | ts=5349412091443700
TRADE | AAPL @ 134.683 x100 | ts=5349412091500600
TRADE | AAPL @ 132.086 x100 | ts=5349412091515200
TRADE | AAPL @ 128.737 x100 | ts=5349412091536200
TRADE | AAPL @ 137.596 x100 | ts=5349412091551000
TRADE | AAPL @ 139.628 x100 | ts=5349412092537000
TRADE | AAPL @ 141.527 x100 | ts=5349412092571500
TRADE | AAPL @ 163.38 x100 | ts=5349412092605500
TRADE | AAPL @ 124.48 x100 | ts=5349412092675900
TRADE | AAPL @ 120.308 x100 | ts=5349412092711000
TRADE | AAPL @ 113.031 x100 | ts=5349412092732200
TRADE | AAPL @ 158.915 x100 | ts=5349412092745600
TRADE | AAPL @ 133.147 x100 | ts=5349412092772900
TRADE | AAPL @ 110.107 x100 | ts=5349412092793600
TRADE | AAPL @ 136.123 x100 | ts=5349412092846800
TRADE | AAPL @ 106.41 x100 | ts=5349412092910100
TRADE | AAPL @ 107.163 x100 | ts=5349412092946500
TRADE | AAPL @ 146.475 x100 | ts=5349412092987400
