CONFIG: ticks=10000 ptrmode=shared pool=on layout=flat
TRADE | AAPL @ 123.711 x100 | ts=5349438665415900
TRADE | AAPL @ 168.385 x100 | ts=5349438665451100
TRADE | AAPL @ 148.196 x100 | ts=5349438665479100
TRADE | AAPL @ 102.193 x100 | ts=5349438665507800
TRADE | AAPL @ 136.04 x100 | ts=5349438665527500
TRADE | AAPL @ 109.849 x100 | ts=5349438665547200
TRADE | AAPL @ 180.043 x100 | ts=5349438665560000
TRADE | AAPL @ 142.529 x100 | ts=5349438665606200
TRADE | AAPL @ 137.449 x100 | ts=5349438665654200
TRADE | AAPL @ 153.563 x100 | ts=5349438665673500
TRADE | AAPL @ 117.359 x100 | ts=5349438665686000
TRADE | AAPL @ 161.366 x100 | ts=5349438665698500
TRADE | AAPL @ 113.51 x100 | ts=5349438665737600
TRADE | AAPL @ 130.317 x100 | ts=5349438665757100
TRADE | AAPL @ 160.408 x100 | ts=5349438665769500
TRADE | AAPL @ 160.703 x100 | ts=5349438665788200
TRADE | AAPL @ 168.91 x100 | ts=5349438665807500
TRADE | AAPL @ 156.57 x100 | ts=5349438665826700
TRADE | AAPL @ 141.547 x100 | ts=5349438665858500
TRADE | AAPL @ 105.924 x100 | ts=5349438665884300
TRADE | AAPL @ 124.363 x100 | ts=5349438665917100
TRADE | AAPL @ 143.189 x100 | ts=5349438665936200
TRADE | AAPL @ 144.244 x100 | ts=5349438665955400
TRADE | AAPL @ 164.693 x100 | ts=5349438665967900
TRADE | AAPL @ 173.968 x100 | ts=5349438666023200
TRADE | AAPL @ 128.433 x100 | ts=5349438666035600
TRADE | AAPL @ 107.905 x100 | ts=5349438666054200
TRADE | AAPL @ 123.334 x100 | ts=5349438666073000
TRADE | AAPL @ 125.07 x100 | ts=5349438666124800
TRADE | AAPL @ 175.529 x100 | ts=5349438666137600
TRADE | AAPL @ 105.561 x100 | ts=5349438666150000
TRADE | AAPL @ 176.869 x100 | ts=5349438666163000
TRADE | AAPL @ 169.88 x100 | ts=5349438666181900
TRADE | AAPL @ 163.366 x100 | ts=5349438666200800
TRADE | AAPL @ 107.917 x100 | ts=5349438666227000
TRADE | AAPL @ 166.27 x100 | ts=5349438666239500
TRADE | AAPL @ 109.561 x100 | ts=5349438666251900
TRADE | AAPL @ 184.004 x100 | ts=5349438666264300
TRADE | AAPL @ 137.308 x100 | ts=5349438666310800
TRADE | AAPL @ 113.898 x100 | ts=5349438666323900
TRADE | AAPL @ 141.012 x100 | ts=5349438666336500
TRADE | AAPL @ 126.575 x100 | ts=5349438666376600
TRADE | AAPL @ 154.053 x100 | ts=5349438666409900
TRADE | AAPL @ 167.461 x100 | ts=5349438666422900
TRADE | AAPL @ 173.995 x100 | ts=5349438666442200
TRADE | AAPL @ 161.712 x100 | ts=5349438666503800
