CONFIG: ticks=10000 ptrmode=shared pool=on layout=multimap
TRADE | AAPL @ 107.734 x100 | ts=5349433395165900
TRADE | AAPL @ 188.374 x100 | ts=5349433395192200
TRADE | AAPL @ 132.011 x100 | ts=5349433395222900
TRADE | AAPL @ 100.739 x100 | ts=5349433395249200
TRADE | AAPL @ 139.16 x100 | ts=5349433395261400
TRADE | AAPL @ 127.562 x100 | ts=5349433395279600
TRADE | AAPL @ 143.879 x100 | ts=5349433395351100
TRADE | AAPL @ 122.305 x100 | ts=5349433395370800
TRADE | AAPL @ 101.263 x100 | ts=5349433395429300
TRADE | AAPL @ 103.778 x100 | ts=5349433395447200
TRADE | AAPL @ 139.68 x100 | ts=5349433395459000
TRADE | AAPL @ 114.166 x100 | ts=5349433395508400
TRADE | AAPL @ 146.982 x100 | ts=5349433395520500
TRADE | AAPL @ 134.617 x100 | ts=5349433395538700
TRADE | AAPL @ 143.201 x100 | ts=5349433395568200
TRADE | AAPL @ 108.992 x100 | ts=5349433395591500
TRADE | AAPL @ 139.516 x100 | ts=5349433395603200
TRADE | AAPL @ 128.455 x100 | ts=5349433395626500
TRADE | AAPL @ 149.905 x100 | ts=5349433395637800
TRADE | AAPL @ 108.436 x100 | ts=5349433395649100
TRADE | AAPL @ 146.394 x100 | ts=5349433395684900
TRADE | AAPL @ 128.805 x100 | ts=5349433395702800
TRADE | AAPL @ 155.844 x100 | ts=5349433395732800
TRADE | AAPL @ 107.509 x100 | ts=5349433395744600
TRADE | AAPL @ 114.29 x100 | ts=5349433395762800
TRADE | AAPL @ 145.783 x100 | ts=5349433395801700
TRADE | AAPL @ 164.914 x100 | ts=5349433395819300
TRADE | AAPL @ 165.6 x100 | ts=5349433395855000
TRADE | AAPL @ 106.54 x100 | ts=5349433395866600
TRADE | AAPL @ 101.575 x100 | ts=5349433395883900
TRADE | AAPL @ 165.876 x100 | ts=5349433395895600
TRADE | AAPL @ 133.797 x100 | ts=5349433395954800
TRADE | AAPL @ 109.795 x100 | ts=5349433395978500
TRADE | AAPL @ 133.522 x100 | ts=5349433395990200
TRADE | AAPL @ 102.846 x100 | ts=5349433396001500
TRADE | AAPL @ 135.196 x100 | ts=5349433396012800
TRADE | AAPL @ 125.342 x100 | ts=5349433396030600
TRADE | AAPL @ 135.372 x100 | ts=5349433396059600
TRADE | AAPL @ 148.707 x100 | ts=5349433396076700
TRADE | AAPL @ 118.532 x100 | ts=5349433396124400
TRADE | AAPL @ 165.957 x100 | ts=5349433396136100
TRADE | AAPL @ 127.897 x100 | ts=5349433396153400
TRADE | AAPL @ 167.285 x100 | ts=5349433396183000
TRADE | AAPL @ 123.994 x100 | ts=5349433396195300
TRADE | AAPL @ 104.551 x100 | ts=5349433396240100
TRADE | AAPL @ 143.799 x100 | ts=5349433396263900
TRADE | AAPL @ 137.531 x100 | ts=5349433396324300
TRADE | AAPL @ 150.321 x100 | ts=5349433396336600
TRADE | AAPL @ 115.445 x100 | ts=5349433396348200
TRADE | AAPL @ 102.092 x100 | ts=5349433396383800
TRADE | AAPL @ 107.594 x100 | ts=5349433396401400
TRADE | AAPL @ 131.42 x100 | ts=5349433396425100
TRADE | AAPL @ 144.485 x100 | ts=5349433396443000
TRADE | AAPL @ 107.668 x100 | ts=5349433396466700
TRADE | AAPL @ 163.338 x100 | ts=5349433396491000
TRADE | AAPL @ 142.226 x100 | ts=5349433396502500
TRADE | AAPL @ 145.026 x100 | ts=5349433396519900
TRADE | AAPL @ 107.6 x100 | ts=5349433396537300
TRADE | AAPL @ 166.294 x100 | ts=5349433396548900
TRADE | AAPL @ 144.899 x100 | ts=5349433396566100
TRADE | AAPL @ 137.724 x100 | ts=5349433396596000
TRADE | AAPL @ 120.502 x100 | ts=5349433396638100
TRADE | AAPL @ 123.498 x100 | ts=5349433396670500
TRADE | AAPL @ 115.153 x100 | ts=5349433396700300
TRADE | AAPL @ 124.718 x100 | ts=5349433397508800
TRADE | AAPL @ 109.569 x100 | ts=5349433397520800
TRADE | AAPL @ 116.71 x100 | ts=5349433397538300
TRADE | AAPL @ 146.618 x100 | ts=5349433397549800
TRADE | AAPL @ 144.219 x100 | ts=5349433397568000
TRADE | AAPL @ 113.73 x100 | ts=5349433397579400
TRADE | AAPL @ 149.179 x100 | ts=5349433397603200
TRADE | AAPL @ 116.145 x100 | ts=5349433397627200
TRADE | AAPL @ 153.138 x100 | ts=5349433397651100
TRADE | AAPL @ 139.867 x100 | ts=5349433397674900
TRADE | AAPL @ 106.929 x100 | ts=5349433397692500
TRADE | AAPL @ 155.474 x100 | ts=5349433397704100
TRADE | AAPL @ 126.95 x100 | ts=5349433397721300
TRADE | AAPL @ 130.641 x100 | ts=5349433397739100
TRADE | AAPL @ 136.629 x100 | ts=5349433397780700
TRADE | AAPL @ 104.945 x100 | ts=5349433397804500
TRADE | AAPL @ 138.178 x100 | ts=5349433397816100
TRADE | AAPL @ 133.298 x100 | ts=5349433397833400
TRADE | AAPL @ 146.397 x100 | ts=5349433397856900
TRADE | AAPL @ 162.936 x100 | ts=5349433397868300
TRADE | AAPL @ 165.01 x100 | ts=5349433397885800
TRADE | AAPL @ 119.615 x100 | ts=5349433397897300
TRADE | AAPL @ 108.308 x100 | ts=5349433397927400
TRADE | AAPL @ 146.583 x100 | ts=5349433397984300
TRADE | AAPL @ 165.251 x100 | ts=5349433397997300
TRADE | AAPL @ 127.525 x100 | ts=5349433398073000
TRADE | AAPL @ 131.123 x100 | ts=5349433398135800
TRADE | AAPL @ 164.036 x100 | ts=5349433398164400
TRADE | AAPL @ 151 x100 | ts=5349433398238900
TRADE | AAPL @ 112.584 x100 | ts=5349433398258600
TRADE | AAPL @ 146.084 x100 | ts=5349433398310100
TRADE | AAPL @ 134.028 x100 | ts=5349433398367800
TRADE | AAPL @ 157.609 x100 | ts=5349433398401600
TRADE | AAPL @ 146.165 x100 | ts=5349433398447800
TRADE | AAPL @ 112.297 x100 | ts=5349433398463000
TRADE | AAPL @ 100.071 x100 | ts=5349433398495100
TRADE | AAPL @ 159.375 x100 | ts=5349433398508400
TRADE | AAPL @ 146.31 x100 | ts=5349433398534700
TRADE | AAPL @ 120.213 x100 | ts=5349433398581500
TRADE | AAPL @ 109.225 x100 | ts=5349433398602400
TRADE | AAPL @ 100.269 x100 | ts=5349433398621700
TRADE | AAPL @ 108.057 x100 | ts=5349433398641200
TRADE | AAPL @ 112.404 x100 | ts=5349433398660100
TRADE | AAPL @ 121.812 x100 | ts=5349433398694700
TRADE | AAPL @ 149.997 x100 | ts=5349433398722900
TRADE | AAPL @ 144.992 x100 | ts=5349433398743100
TRADE | AAPL @ 146.13 x100 | ts=5349433398762800
TRADE | AAPL @ 147.265 x100 | ts=5349433398795900
TRADE | AAPL @ 139.839 x100 | ts=5349433398808600
TRADE | AAPL @ 163.257 x100 | ts=5349433398822100
TRADE | AAPL @ 108.8 x100 | ts=5349433398835000
TRADE | AAPL @ 122.092 x100 | ts=5349433398900900
TRADE | AAPL @ 105.017 x100 | ts=5349433398920500
TRADE | AAPL @ 133.964 x100 | ts=5349433398989000
TRADE | AAPL @ 163.382 x100 | ts=5349433399002200
TRADE | AAPL @ 103.1 x100 | ts=5349433399014100
TRADE | AAPL @ 166.127 x100 | ts=5349433399042200
TRADE | AAPL @ 132.046 x100 | ts=5349433399066200
TRADE | AAPL @ 158.181 x100 | ts=5349433399078400
TRADE | AAPL @ 166.615 x100 | ts=5349433399096900
TRADE | AAPL @ 104.237 x100 | ts=5349433399109100
TRADE | AAPL @ 168.79 x100 | ts=5349433399120900
TRADE | AAPL @ 129.322 x100 | ts=5349433399150900
TRADE | AAPL @ 126.19 x100 | ts=5349433399168900
TRADE | AAPL @ 129.764 x100 | ts=5349433400217600
TRADE | AAPL @ 154.998 x100 | ts=5349433400241600
TRADE | AAPL @ 146.107 x100 | ts=5349433400258800
TRADE | AAPL @ 121.32 x100 | ts=5349433400288000
TRADE | AAPL @ 165.232 x100 | ts=5349433400323700
TRADE | AAPL @ 164.835 x100 | ts=5349433400394500
TRADE | AAPL @ 119.493 x100 | ts=5349433400406900
TRADE | AAPL @ 120.127 x100 | ts=5349433400424600
TRADE | AAPL @ 108.291 x100 | ts=5349433400442200
TRADE | AAPL @ 164.98 x100 | ts=5349433400453800
TRADE | AAPL @ 154.961 x100 | ts=5349433400471200
TRADE | AAPL @ 119.334 x100 | ts=5349433400482400
TRADE | AAPL @ 169.064 x100 | ts=5349433400505800
TRADE | AAPL @ 166.031 x100 | ts=5349433400523000
TRADE | AAPL @ 148.822 x100 | ts=5349433400540100
TRADE | AAPL @ 144.474 x100 | ts=5349433400551300
TRADE | AAPL @ 170.739 x100 | ts=5349433400562400
TRADE | AAPL @ 146.836 x100 | ts=5349433400580000
TRADE | AAPL @ 114.971 x100 | ts=5349433400603100
TRADE | AAPL @ 144.279 x100 | ts=5349433400614400
TRADE | AAPL @ 171.545 x100 | ts=5349433400631700
TRADE | AAPL @ 101.937 x100 | ts=5349433400655700
TRADE | AAPL @ 164.335 x100 | ts=5349433400667200
TRADE | AAPL @ 113.488 x100 | ts=5349433400678600
TRADE | AAPL @ 145.7 x100 | ts=5349433400720300
TRADE | AAPL @ 154.058 x100 | ts=5349433400761800
TRADE | AAPL @ 157.08 x100 | ts=5349433400779600
TRADE | AAPL @ 125.008 x100 | ts=5349433400797000
TRADE | AAPL @ 104.017 x100 | ts=5349433400826800
TRADE | AAPL @ 152.653 x100 | ts=5349433400893600
TRADE | AAPL @ 152.734 x100 | ts=5349433400911500
TRADE | AAPL @ 117.997 x100 | ts=5349433400923200
TRADE | AAPL @ 137.254 x100 | ts=5349433401004700
TRADE | AAPL @ 152.211 x100 | ts=5349433401016400
TRADE | AAPL @ 154.479 x100 | ts=5349433401034500
TRADE | AAPL @ 141.759 x100 | ts=5349433401077300
TRADE | AAPL @ 101.106 x100 | ts=5349433401115000
TRADE | AAPL @ 115.28 x100 | ts=5349433401161900
TRADE | AAPL @ 142.722 x100 | ts=5349433401175100
TRADE | AAPL @ 116.561 x100 | ts=5349433401186500
TRADE | AAPL @ 137.241 x100 | ts=5349433401203800
TRADE | AAPL @ 116.337 x100 | ts=5349433401221200
TRADE | AAPL @ 123.763 x100 | ts=5349433401238500
TRADE | AAPL @ 143.306 x100 | ts=5349433401249900
TRADE | AAPL @ 134.323 x100 | ts=5349433401261200
TRADE | AAPL @ 118.144 x100 | ts=5349433401315200
TRADE | AAPL @ 108.682 x100 | ts=5349433401345300
TRADE | AAPL @ 141.539 x100 | ts=5349433401356800
TRADE | AAPL @ 112.112 x100 | ts=5349433401368500
TRADE | AAPL @ 142.973 x100 | ts=5349433401379800
TRADE | AAPL @ 148.728 x100 | ts=5349433401409200
TRADE | AAPL @ 119.589 x100 | ts=5349433401445000
TRADE | AAPL @ 162.64 x100 | ts=5349433401456400
TRADE | AAPL @ 152.576 x100 | ts=5349433401498400
