CONFIG: ticks=100000 ptrmode=pool pool=on layout=multimap
TRADE | AAPL @ 101.474 x100 | ts=5349465415582400
TRADE | AAPL @ 118.063 x100 | ts=5349465415626900
TRADE | AAPL @ 116.404 x100 | ts=5349465415666600
TRADE | AAPL @ 121.015 x100 | ts=5349465415704900
TRADE | AAPL @ 112.92 x100 | ts=5349465415744900
TRADE | AAPL @ 191.367 x100 | ts=5349465415773400
TRADE | AAPL @ 129.047 x100 | ts=5349465415797700
TRADE | AAPL @ 165.517 x100 | ts=5349465415831600
TRADE | AAPL @ 102.729 x100 | ts=5349465415867300
TRADE | AAPL @ 137.699 x100 | ts=5349465415885700
TRADE | AAPL @ 169.726 x100 | ts=5349465415912100
TRADE | AAPL @ 112.323 x100 | ts=5349465415986100
TRADE | AAPL @ 158.982 x100 | ts=5349465416004300
TRADE | AAPL @ 159.744 x100 | ts=5349465416031900
TRADE | AAPL @ 105.14 x100 | ts=5349465416067000
TRADE | AAPL @ 124.019 x100 | ts=5349465416093500
TRADE | AAPL @ 146.126 x100 | ts=5349465416119600
TRADE | AAPL @ 148.802 x100 | ts=5349465416146400
TRADE | AAPL @ 154.484 x100 | ts=5349465416183200
TRADE | AAPL @ 144.144 x100 | ts=5349465416230100
TRADE | AAPL @ 157.363 x100 | ts=5349465416256800
TRADE | AAPL @ 112.944 x100 | ts=5349465416293700
TRADE | AAPL @ 159.299 x100 | ts=5349465416312200
TRADE | AAPL @ 172.566 x100 | ts=5349465416339600
TRADE | AAPL @ 113.227 x100 | ts=5349465416375300
TRADE | AAPL @ 170.705 x100 | ts=5349465416402500
TRADE | AAPL @ 133.497 x100 | ts=5349465416420000
TRADE | AAPL @ 148.502 x100 | ts=5349465416466500
TRADE | AAPL @ 114.885 x100 | ts=5349465416494800
TRADE | AAPL @ 119.87 x100 | ts=5349465416539500
TRADE | AAPL @ 142.607 x100 | ts=5349465416578000
TRADE | AAPL @ 104.989 x100 | ts=5349465416596600
TRADE | AAPL @ 116.709 x100 | ts=5349465416642000
TRADE | AAPL @ 177.048 x100 | ts=5349465416697600
TRADE | AAPL @ 102.449 x100 | ts=5349465416735000
TRADE | AAPL @ 178.756 x100 | ts=5349465416754000
TRADE | AAPL @ 100.209 x100 | ts=5349465416773200
TRADE | AAPL @ 163.139 x100 | ts=5349465416820100
TRADE | AAPL @ 158.523 x100 | ts=5349465416856600
TRADE | AAPL @ 139.702 x100 | ts=5349465416875100
TRADE | AAPL @ 100.496 x100 | ts=5349465416902900
TRADE | AAPL @ 104.651 x100 | ts=5349465416931200
TRADE | AAPL @ 129.415 x100 | ts=5349465417022000
TRADE | AAPL @ 157.461 x100 | ts=5349465417041900
TRADE | AAPL @ 125.682 x100 | ts=5349465417060300
TRADE | AAPL @ 127.729 x100 | ts=5349465417088100
TRADE | AAPL @ 171.236 x100 | ts=5349465417164400
TRADE | AAPL @ 141.533 x100 | ts=5349465417202800
TRADE | AAPL @ 175.878 x100 | ts=5349465417243000
TRADE | AAPL @ 119.77 x100 | ts=5349465417284200
TRADE | AAPL @ 163.13 x100 | ts=5349465417324900
TRADE | AAPL @ 105.824 x100 | ts=5349465417342700
TRADE | AAPL @ 178.183 x100 | ts=5349465417361200
TRADE | AAPL @ 124.924 x100 | ts=5349465417379800
TRADE | AAPL @ 102.111 x100 | ts=5349465417445900
TRADE | AAPL @ 180.66 x100 | ts=5349465417485000
TRADE | AAPL @ 181.171 x100 | ts=5349465417520500
TRADE | AAPL @ 124.609 x100 | ts=5349465417579700
