CONFIG: ticks=10000 ptrmode=pool pool=on layout=multimap
TRADE | AAPL @ 142.504 x100 | ts=5349423652819700
TRADE | AAPL @ 150.211 x100 | ts=5349423652851200
TRADE | AAPL @ 114.604 x100 | ts=5349423652887900
TRADE | AAPL @ 169.278 x100 | ts=5349423652915100
TRADE | AAPL @ 140.953 x100 | ts=5349423652997500
TRADE | AAPL @ 138.678 x100 | ts=5349423653026100
TRADE | AAPL @ 137.908 x100 | ts=5349423653072300
TRADE | AAPL @ 109.725 x100 | ts=5349423653125500
TRADE | AAPL @ 150.73 x100 | ts=5349423653145300
TRADE | AAPL @ 139.115 x100 | ts=5349423653172100
TRADE | AAPL @ 104.804 x100 | ts=5349423653189700
TRADE | AAPL @ 165.727 x100 | ts=5349423653207700
TRADE | AAPL @ 122.629 x100 | ts=5349423653243900
TRADE | AAPL @ 117.521 x100 | ts=5349423653270300
TRADE | AAPL @ 161.968 x100 | ts=5349423653288800
TRADE | AAPL @ 167.565 x100 | ts=5349423653315100
TRADE | AAPL @ 153.261 x100 | ts=5349423653360000
TRADE | AAPL @ 178.235 x100 | ts=5349423653388800
TRADE | AAPL @ 137.939 x100 | ts=5349423653406700
TRADE | AAPL @ 162.074 x100 | ts=5349423653442800
TRADE | AAPL @ 178.498 x100 | ts=5349423653469500
TRADE | AAPL @ 113.326 x100 | ts=5349423653487400
TRADE | AAPL @ 133.697 x100 | ts=5349423653514300
TRADE | AAPL @ 157.16 x100 | ts=5349423653550400
TRADE | AAPL @ 190.024 x100 | ts=5349423653578200
TRADE | AAPL @ 164.906 x100 | ts=5349423653624400
TRADE | AAPL @ 135.299 x100 | ts=5349423653682700
TRADE | AAPL @ 179.814 x100 | ts=5349423653702800
TRADE | AAPL @ 124.095 x100 | ts=5349423653778300
TRADE | AAPL @ 149.545 x100 | ts=5349423653797300
TRADE | AAPL @ 152.652 x100 | ts=5349423653883600
TRADE | AAPL @ 152.479 x100 | ts=5349423653915600
TRADE | AAPL @ 152.837 x100 | ts=5349423653945100
TRADE | AAPL @ 134.567 x100 | ts=5349423653983100
TRADE | AAPL @ 158.021 x100 | ts=5349423654081300
TRADE | AAPL @ 122.47 x100 | ts=5349423654119900
TRADE | AAPL @ 142.786 x100 | ts=5349423654185300
TRADE | AAPL @ 159.254 x100 | ts=5349423654214600
TRADE | AAPL @ 162.542 x100 | ts=5349423654243400
TRADE | AAPL @ 150.675 x100 | ts=5349423654272600
TRADE | AAPL @ 136.27 x100 | ts=5349423654291300
TRADE | AAPL @ 167.972 x100 | ts=5349423654309800
TRADE | AAPL @ 122.136 x100 | ts=5349423654346100
TRADE | AAPL @ 121.679 x100 | ts=5349423654376500
TRADE | AAPL @ 168.522 x100 | ts=5349423654394300
TRADE | AAPL @ 170.017 x100 | ts=5349423654420900
TRADE | AAPL @ 101.347 x100 | ts=5349423654476600
TRADE | AAPL @ 131.287 x100 | ts=5349423654521900
TRADE | AAPL @ 122.834 x100 | ts=5349423654550500
TRADE | AAPL @ 141.485 x100 | ts=5349423654568500
TRADE | AAPL @ 111.701 x100 | ts=5349423654603700
TRADE | AAPL @ 170.242 x100 | ts=5349423654623300
TRADE | AAPL @ 146.95 x100 | ts=5349423654650100
TRADE | AAPL @ 143.084 x100 | ts=5349423654677400
TRADE | AAPL @ 135.876 x100 | ts=5349423654704000
TRADE | AAPL @ 125.229 x100 | ts=5349423654723000
TRADE | AAPL @ 170.828 x100 | ts=5349423654740600
TRADE | AAPL @ 145.9 x100 | ts=5349423654803400
TRADE | AAPL @ 107.212 x100 | ts=5349423654822500
TRADE | AAPL @ 159.042 x100 | ts=5349423654888500
TRADE | AAPL @ 142.793 x100 | ts=5349423654916600
TRADE | AAPL @ 102.828 x100 | ts=5349423654934300
TRADE | AAPL @ 157.348 x100 | ts=5349423654970200
TRADE | AAPL @ 164.007 x100 | ts=5349423654998700
TRADE | AAPL @ 141.503 x100 | ts=5349423656269700
TRADE | AAPL @ 146.108 x100 | ts=5349423656296500
TRADE | AAPL @ 112.059 x100 | ts=5349423656309200
TRADE | AAPL @ 168.671 x100 | ts=5349423656322000
TRADE | AAPL @ 111.307 x100 | ts=5349423656348000
TRADE | AAPL @ 144.145 x100 | ts=5349423656387300
TRADE | AAPL @ 165.266 x100 | ts=5349423656406700
TRADE | AAPL @ 141.961 x100 | ts=5349423656432300
TRADE | AAPL @ 108.592 x100 | ts=5349423656445100
TRADE | AAPL @ 167.951 x100 | ts=5349423656457900
TRADE | AAPL @ 167.905 x100 | ts=5349423656490200
TRADE | AAPL @ 119.662 x100 | ts=5349423656503600
TRADE | AAPL @ 169.639 x100 | ts=5349423656529600
TRADE | AAPL @ 119.911 x100 | ts=5349423656555600
TRADE | AAPL @ 170.481 x100 | ts=5349423656568300
TRADE | AAPL @ 108.61 x100 | ts=5349423656594800
TRADE | AAPL @ 144.026 x100 | ts=5349423656620900
TRADE | AAPL @ 137.558 x100 | ts=5349423656647000
TRADE | AAPL @ 108.737 x100 | ts=5349423656666500
TRADE | AAPL @ 116.683 x100 | ts=5349423656686100
TRADE | AAPL @ 174.601 x100 | ts=5349423656699000
TRADE | AAPL @ 121.828 x100 | ts=5349423656725200
TRADE | AAPL @ 169.133 x100 | ts=5349423656765100
TRADE | AAPL @ 161.944 x100 | ts=5349423656798500
TRADE | AAPL @ 175.169 x100 | ts=5349423656818000
TRADE | AAPL @ 134.134 x100 | ts=5349423656830800
TRADE | AAPL @ 102.292 x100 | ts=5349423656850100
TRADE | AAPL @ 112.429 x100 | ts=5349423656879800
TRADE | AAPL @ 105.171 x100 | ts=5349423656899700
TRADE | AAPL @ 120.063 x100 | ts=5349423656919300
TRADE | AAPL @ 125.099 x100 | ts=5349423656972500
TRADE | AAPL @ 132.884 x100 | ts=5349423656992200
