CONFIG: ticks=10000 ptrmode=raw pool=off layout=multimap
TRADE | AAPL @ 120.397 x100 | ts=5349403026198900
TRADE | AAPL @ 163.705 x100 | ts=5349403026282500
TRADE | AAPL @ 138.405 x100 | ts=5349403026310300
TRADE | AAPL @ 111.422 x100 | ts=5349403026343000
TRADE | AAPL @ 108.86 x100 | ts=5349403026375100
TRADE | AAPL @ 142.814 x100 | ts=5349403026451300
TRADE | AAPL @ 119.677 x100 | ts=5349403026483700
TRADE | AAPL @ 148.33 x100 | ts=5349403026538800
TRADE | AAPL @ 114.629 x100 | ts=5349403026572000
TRADE | AAPL @ 105.603 x100 | ts=5349403026625200
TRADE | AAPL @ 159.887 x100 | ts=5349403026669200
TRADE | AAPL @ 159.081 x100 | ts=5349403026745200
TRADE | AAPL @ 146.173 x100 | ts=5349403026836400
TRADE | AAPL @ 150.296 x100 | ts=5349403026901200
TRADE | AAPL @ 118.563 x100 | ts=5349403026945700
TRADE | AAPL @ 149.444 x100 | ts=5349403026990000
TRADE | AAPL @ 156.592 x100 | ts=5349403027036500
TRADE | AAPL @ 138.85 x100 | ts=5349403027068100
TRADE | AAPL @ 161.804 x100 | ts=5349403027091400
TRADE | AAPL @ 122.954 x100 | ts=5349403027111900
TRADE | AAPL @ 143.481 x100 | ts=5349403027209800
TRADE | AAPL @ 130.439 x100 | ts=5349403027275200
TRADE | AAPL @ 134.071 x100 | ts=5349403027309800
TRADE | AAPL @ 106.695 x100 | ts=5349403027341100
TRADE | AAPL @ 164.001 x100 | ts=5349403027362500
TRADE | AAPL @ 166.887 x100 | ts=5349403027393900
TRADE | AAPL @ 131.071 x100 | ts=5349403027414300
TRADE | AAPL @ 102.884 x100 | ts=5349403027445900
TRADE | AAPL @ 168.495 x100 | ts=5349403027466800
TRADE | AAPL @ 133.652 x100 | ts=5349403027589800
TRADE | AAPL @ 139.686 x100 | ts=5349403027621300
TRADE | AAPL @ 130.057 x100 | ts=5349403027702400
TRADE | AAPL @ 110.571 x100 | ts=5349403027735300
TRADE | AAPL @ 102.081 x100 | ts=5349403027788100
TRADE | AAPL @ 148.464 x100 | ts=5349403027808900
TRADE | AAPL @ 153.35 x100 | ts=5349403027861800
TRADE | AAPL @ 125.109 x100 | ts=5349403027882300
TRADE | AAPL @ 159.097 x100 | ts=5349403027902500
TRADE | AAPL @ 107.718 x100 | ts=5349403027922100
TRADE | AAPL @ 159.377 x100 | ts=5349403027963600
TRADE | AAPL @ 130.397 x100 | ts=5349403027984500
TRADE | AAPL @ 159.924 x100 | ts=5349403028049600
TRADE | AAPL @ 118.754 x100 | ts=5349403028071600
TRADE | AAPL @ 161.143 x100 | ts=5349403028092400
TRADE | AAPL @ 147.297 x100 | ts=5349403028149600
TRADE | AAPL @ 120.423 x100 | ts=5349403028285000
TRADE | AAPL @ 121.831 x100 | ts=5349403028339900
TRADE | AAPL @ 152.666 x100 | ts=5349403028361500
TRADE | AAPL @ 124.032 x100 | ts=5349403028450100
TRADE | AAPL @ 135.636 x100 | ts=5349403028471700
TRADE | AAPL @ 126.529 x100 | ts=5349403028514600
TRADE | AAPL @ 154.432 x100 | ts=5349403028536300
TRADE | AAPL @ 157.885 x100 | ts=5349403028568800
TRADE | AAPL @ 132.924 x100 | ts=5349403028601000
TRADE | AAPL @ 126.976 x100 | ts=5349403028643500
TRADE | AAPL @ 161.866 x100 | ts=5349403028666200
TRADE | AAPL @ 166.397 x100 | ts=5349403028745000
TRADE | AAPL @ 166.849 x100 | ts=5349403028780400
TRADE | AAPL @ 142.242 x100 | ts=5349403028828600
TRADE | AAPL @ 111.583 x100 | ts=5349403028862900
TRADE | AAPL @ 167.069 x100 | ts=5349403028887000
TRADE | AAPL @ 158.078 x100 | ts=5349403028921500
TRADE | AAPL @ 170.664 x100 | ts=5349403028955600
TRADE | AAPL @ 100.261 x100 | ts=5349403028980400
TRADE | AAPL @ 125.359 x100 | ts=5349403030694000
TRADE | AAPL @ 145.559 x100 | ts=5349403030740700
TRADE | AAPL @ 164.47 x100 | ts=5349403030821700
TRADE | AAPL @ 134.796 x100 | ts=5349403030853700
TRADE | AAPL @ 156.049 x100 | ts=5349403030885400
TRADE | AAPL @ 129.368 x100 | ts=5349403030927800
TRADE | AAPL @ 105.761 x100 | ts=5349403030960100
TRADE | AAPL @ 129.667 x100 | ts=5349403031035100
TRADE | AAPL @ 120.96 x100 | ts=5349403031067200
TRADE | AAPL @ 163.756 x100 | ts=5349403031088000
TRADE | AAPL @ 160.758 x100 | ts=5349403031163200
TRADE | AAPL @ 163.087 x100 | ts=5349403031209400
TRADE | AAPL @ 165.618 x100 | ts=5349403031240800
TRADE | AAPL @ 168.02 x100 | ts=5349403031271900
TRADE | AAPL @ 100.694 x100 | ts=5349403031292100
TRADE | AAPL @ 142.122 x100 | ts=5349403031323600
TRADE | AAPL @ 169.116 x100 | ts=5349403031366500
TRADE | AAPL @ 125.251 x100 | ts=5349403031390900
TRADE | AAPL @ 174.369 x100 | ts=5349403031452500
TRADE | AAPL @ 137.596 x100 | ts=5349403031474800
TRADE | AAPL @ 174.399 x100 | ts=5349403031495300
TRADE | AAPL @ 174.902 x100 | ts=5349403031526600
TRADE | AAPL @ 138.465 x100 | ts=5349403031571600
TRADE | AAPL @ 104.179 x100 | ts=5349403031625700
TRADE | AAPL @ 170.802 x100 | ts=5349403031726600
TRADE | AAPL @ 117.266 x100 | ts=5349403031771100
TRADE | AAPL @ 160.63 x100 | ts=5349403031838300
TRADE | AAPL @ 102.241 x100 | ts=5349403031906200
TRADE | AAPL @ 157.247 x100 | ts=5349403031951900
TRADE | AAPL @ 119.355 x100 | ts=5349403031974300
TRADE | AAPL @ 175.905 x100 | ts=5349403031995300
TRADE | AAPL @ 131.639 x100 | ts=5349403032051800
TRADE | AAPL @ 163.946 x100 | ts=5349403032110800
TRADE | AAPL @ 165.155 x100 | ts=5349403032144600
TRADE | AAPL @ 104.941 x100 | ts=5349403032167100
TRADE | AAPL @ 136.783 x100 | ts=5349403032201700
TRADE | AAPL @ 125.127 x100 | ts=5349403032265000
TRADE | AAPL @ 166.253 x100 | ts=5349403032287600
TRADE | AAPL @ 168.24 x100 | ts=5349403032321900
TRADE | AAPL @ 109.044 x100 | ts=5349403032362500
TRADE | AAPL @ 168.842 x100 | ts=5349403032384500
TRADE | AAPL @ 157.354 x100 | ts=5349403032463000
TRADE | AAPL @ 109.636 x100 | ts=5349403032484300
TRADE | AAPL @ 130.633 x100 | ts=5349403032537100
TRADE | AAPL @ 177.675 x100 | ts=5349403032558000
TRADE | AAPL @ 118.449 x100 | ts=5349403032578500
TRADE | AAPL @ 136.301 x100 | ts=5349403032633300
TRADE | AAPL @ 122.992 x100 | ts=5349403032709300
TRADE | AAPL @ 143.895 x100 | ts=5349403032729900
TRADE | AAPL @ 151.103 x100 | ts=5349403032762200
TRADE | AAPL @ 148.599 x100 | ts=5349403032794000
TRADE | AAPL @ 134.986 x100 | ts=5349403032835700
TRADE | AAPL @ 158.378 x100 | ts=5349403032885800
TRADE | AAPL @ 136.408 x100 | ts=5349403032927800
TRADE | AAPL @ 160.68 x100 | ts=5349403032948300
TRADE | AAPL @ 140.269 x100 | ts=5349403033010900
TRADE | AAPL @ 167.249 x100 | ts=5349403033053600
TRADE | AAPL @ 103.091 x100 | ts=5349403033074300
TRADE | AAPL @ 100.089 x100 | ts=5349403033106600
TRADE | AAPL @ 134.283 x100 | ts=5349403033150900
TRADE | AAPL @ 144.466 x100 | ts=5349403033241000
TRADE | AAPL @ 154.524 x100 | ts=5349403033284800
TRADE | AAPL @ 111.279 x100 | ts=5349403033321000
TRADE | AAPL @ 158.369 x100 | ts=5349403033387800
TRADE | AAPL @ 106.966 x100 | ts=5349403034963000
TRADE | AAPL @ 160.702 x100 | ts=5349403034984100
TRADE | AAPL @ 156.891 x100 | ts=5349403035014800
TRADE | AAPL @ 133.432 x100 | ts=5349403035112000
TRADE | AAPL @ 115.247 x100 | ts=5349403035138100
TRADE | AAPL @ 124.958 x100 | ts=5349403035181200
TRADE | AAPL @ 104.048 x100 | ts=5349403035281400
TRADE | AAPL @ 146.896 x100 | ts=5349403035311700
TRADE | AAPL @ 151.983 x100 | ts=5349403035394100
TRADE | AAPL @ 118.542 x100 | ts=5349403035422200
TRADE | AAPL @ 110.272 x100 | ts=5349403035465800
TRADE | AAPL @ 158.779 x100 | ts=5349403035493500
