CONFIG: ticks=10000 ptrmode=shared pool=on layout=multimap
TRADE | AAPL @ 112.388 x100 | ts=5349397615928300
TRADE | AAPL @ 108.191 x100 | ts=5349397615951900
TRADE | AAPL @ 153.262 x100 | ts=5349397615972900
TRADE | AAPL @ 122.72 x100 | ts=5349397616021300
TRADE | AAPL @ 173.452 x100 | ts=5349397616035100
TRADE | AAPL @ 108.269 x100 | ts=5349397616048500
TRADE | AAPL @ 107.793 x100 | ts=5349397616068700
TRADE | AAPL @ 179.625 x100 | ts=5349397616082000
TRADE | AAPL @ 163.197 x100 | ts=5349397616157300
TRADE | AAPL @ 126.399 x100 | ts=5349397616188000
TRADE | AAPL @ 146.455 x100 | ts=5349397616200400
TRADE | AAPL @ 158.408 x100 | ts=5349397616218800
TRADE | AAPL @ 179.584 x100 | ts=5349397616236100
TRADE | AAPL @ 144.2 x100 | ts=5349397616266300
TRADE | AAPL @ 129.619 x100 | ts=5349397616290500
TRADE | AAPL @ 134.186 x100 | ts=5349397616308400
TRADE | AAPL @ 176.243 x100 | ts=5349397616320200
TRADE | AAPL @ 107.374 x100 | ts=5349397616332100
TRADE | AAPL @ 113.342 x100 | ts=5349397616375300
TRADE | AAPL @ 136.668 x100 | ts=5349397616387900
TRADE | AAPL @ 107.824 x100 | ts=5349397616399400
TRADE | AAPL @ 133.857 x100 | ts=5349397616430000
TRADE | AAPL @ 155.833 x100 | ts=5349397616467200
TRADE | AAPL @ 122.852 x100 | ts=5349397616479500
TRADE | AAPL @ 136.31 x100 | ts=5349397616526000
TRADE | AAPL @ 100.615 x100 | ts=5349397616538300
TRADE | AAPL @ 101.512 x100 | ts=5349397616556200
TRADE | AAPL @ 105.277 x100 | ts=5349397616573700
TRADE | AAPL @ 159.162 x100 | ts=5349397616585500
TRADE | AAPL @ 146.515 x100 | ts=5349397616603000
TRADE | AAPL @ 114.536 x100 | ts=5349397616614500
TRADE | AAPL @ 114.243 x100 | ts=5349397616632100
TRADE | AAPL @ 123.936 x100 | ts=5349397616662000
TRADE | AAPL @ 104.075 x100 | ts=5349397616706700
TRADE | AAPL @ 134.561 x100 | ts=5349397616719100
TRADE | AAPL @ 159.376 x100 | ts=5349397616756100
TRADE | AAPL @ 122.615 x100 | ts=5349397616775300
TRADE | AAPL @ 152.157 x100 | ts=5349397616794000
TRADE | AAPL @ 100.34 x100 | ts=5349397616832700
TRADE | AAPL @ 122.314 x100 | ts=5349397616851800
TRADE | AAPL @ 121.674 x100 | ts=5349397616871100
TRADE | AAPL @ 113.542 x100 | ts=5349397616889400
TRADE | AAPL @ 136.802 x100 | ts=5349397616908300
TRADE | AAPL @ 160.01 x100 | ts=5349397616921100
TRADE | AAPL @ 121.93 x100 | ts=5349397616958800
TRADE | AAPL @ 163.942 x100 | ts=5349397616971100
TRADE | AAPL @ 103.522 x100 | ts=5349397616982900
TRADE | AAPL @ 134.416 x100 | ts=5349397617006600
TRADE | AAPL @ 116.653 x100 | ts=5349397617019000
TRADE | AAPL @ 171.126 x100 | ts=5349397617031000
TRADE | AAPL @ 111.552 x100 | ts=5349397617043500
TRADE | AAPL @ 113.994 x100 | ts=5349397617062100
TRADE | AAPL @ 149.335 x100 | ts=5349397617115600
TRADE | AAPL @ 142.85 x100 | ts=5349397617133600
TRADE | AAPL @ 168.777 x100 | ts=5349397617151700
TRADE | AAPL @ 135.441 x100 | ts=5349397617188400
TRADE | AAPL @ 143.508 x100 | ts=5349397617220500
TRADE | AAPL @ 149.676 x100 | ts=5349397617232600
TRADE | AAPL @ 115.04 x100 | ts=5349397617257100
TRADE | AAPL @ 153.933 x100 | ts=5349397617268600
TRADE | AAPL @ 130.412 x100 | ts=5349397617292700
TRADE | AAPL @ 162.17 x100 | ts=5349397617304400
TRADE | AAPL @ 117.784 x100 | ts=5349397617340700
TRADE | AAPL @ 144.683 x100 | ts=5349397617352700
TRADE | AAPL @ 141.557 x100 | ts=5349397618154300
TRADE | AAPL @ 106.444 x100 | ts=5349397618178300
TRADE | AAPL @ 137.333 x100 | ts=5349397618190200
TRADE | AAPL @ 107.793 x100 | ts=5349397618202000
TRADE | AAPL @ 126.083 x100 | ts=5349397618219600
TRADE | AAPL @ 142.983 x100 | ts=5349397618243600
TRADE | AAPL @ 132.869 x100 | ts=5349397618262100
TRADE | AAPL @ 110.377 x100 | ts=5349397618273800
TRADE | AAPL @ 124.747 x100 | ts=5349397618339800
TRADE | AAPL @ 134.057 x100 | ts=5349397618359100
TRADE | AAPL @ 108.294 x100 | ts=5349397618377200
TRADE | AAPL @ 158.377 x100 | ts=5349397618435800
TRADE | AAPL @ 168.711 x100 | ts=5349397618448400
TRADE | AAPL @ 132.001 x100 | ts=5349397618460100
TRADE | AAPL @ 119.566 x100 | ts=5349397618478000
TRADE | AAPL @ 171.253 x100 | ts=5349397618489900
TRADE | AAPL @ 110.48 x100 | ts=5349397618525900
TRADE | AAPL @ 141.161 x100 | ts=5349397618644700
TRADE | AAPL @ 103.392 x100 | ts=5349397618695700
TRADE | AAPL @ 171.175 x100 | ts=5349397618727300
TRADE | AAPL @ 129.294 x100 | ts=5349397618746400
TRADE | AAPL @ 153.843 x100 | ts=5349397618772600
TRADE | AAPL @ 115.829 x100 | ts=5349397618800300
TRADE | AAPL @ 141.968 x100 | ts=5349397618829400
TRADE | AAPL @ 127.192 x100 | ts=5349397618862700
TRADE | AAPL @ 126.496 x100 | ts=5349397618914500
TRADE | AAPL @ 175.106 x100 | ts=5349397618929100
TRADE | AAPL @ 133.442 x100 | ts=5349397619028000
TRADE | AAPL @ 174.357 x100 | ts=5349397619044900
TRADE | AAPL @ 106.862 x100 | ts=5349397619137600
TRADE | AAPL @ 175.273 x100 | ts=5349397619150300
TRADE | AAPL @ 145.244 x100 | ts=5349397619163000
TRADE | AAPL @ 106.348 x100 | ts=5349397619182000
TRADE | AAPL @ 122.781 x100 | ts=5349397619201200
TRADE | AAPL @ 123.266 x100 | ts=5349397619220600
TRADE | AAPL @ 175.398 x100 | ts=5349397619233200
TRADE | AAPL @ 169.782 x100 | ts=5349397619285100
TRADE | AAPL @ 177.982 x100 | ts=5349397619302800
TRADE | AAPL @ 133.549 x100 | ts=5349397619320600
TRADE | AAPL @ 125.374 x100 | ts=5349397619332000
TRADE | AAPL @ 119.945 x100 | ts=5349397619349800
TRADE | AAPL @ 140.81 x100 | ts=5349397619367900
TRADE | AAPL @ 139.115 x100 | ts=5349397619397800
TRADE | AAPL @ 162.668 x100 | ts=5349397619421200
TRADE | AAPL @ 153.601 x100 | ts=5349397619438700
TRADE | AAPL @ 137.782 x100 | ts=5349397619456200
TRADE | AAPL @ 175.246 x100 | ts=5349397619474300
TRADE | AAPL @ 104.21 x100 | ts=5349397619486000
TRADE | AAPL @ 100.979 x100 | ts=5349397619522400
TRADE | AAPL @ 102.222 x100 | ts=5349397619552300
TRADE | AAPL @ 109.772 x100 | ts=5349397619570100
TRADE | AAPL @ 146.952 x100 | ts=5349397619581600
TRADE | AAPL @ 104.792 x100 | ts=5349397619592900
TRADE | AAPL @ 139.695 x100 | ts=5349397619616700
TRADE | AAPL @ 104.078 x100 | ts=5349397619641200
TRADE | AAPL @ 155.552 x100 | ts=5349397619653100
TRADE | AAPL @ 122.712 x100 | ts=5349397619678100
TRADE | AAPL @ 153.249 x100 | ts=5349397619704500
TRADE | AAPL @ 134.48 x100 | ts=5349397619717700
TRADE | AAPL @ 170.904 x100 | ts=5349397619729200
TRADE | AAPL @ 107.883 x100 | ts=5349397619753300
TRADE | AAPL @ 145.449 x100 | ts=5349397619770800
TRADE | AAPL @ 106.546 x100 | ts=5349397619801400
TRADE | AAPL @ 150.56 x100 | ts=5349397619869300
TRADE | AAPL @ 104.534 x100 | ts=5349397620827700
TRADE | AAPL @ 131.172 x100 | ts=5349397620845800
TRADE | AAPL @ 135.268 x100 | ts=5349397620887700
TRADE | AAPL @ 163.812 x100 | ts=5349397620943100
TRADE | AAPL @ 165.712 x100 | ts=5349397620961000
TRADE | AAPL @ 132.816 x100 | ts=5349397620972500
TRADE | AAPL @ 132.541 x100 | ts=5349397621001800
TRADE | AAPL @ 120.753 x100 | ts=5349397621019500
TRADE | AAPL @ 143.41 x100 | ts=5349397621037000
TRADE | AAPL @ 169.061 x100 | ts=5349397621060700
TRADE | AAPL @ 129.826 x100 | ts=5349397621072000
TRADE | AAPL @ 100.33 x100 | ts=5349397621101600
TRADE | AAPL @ 133.039 x100 | ts=5349397621145700
TRADE | AAPL @ 106.934 x100 | ts=5349397621175200
TRADE | AAPL @ 162.953 x100 | ts=5349397621186700
TRADE | AAPL @ 123 x100 | ts=5349397621198100
TRADE | AAPL @ 122.029 x100 | ts=5349397621215500
TRADE | AAPL @ 109.236 x100 | ts=5349397621233100
TRADE | AAPL @ 164.957 x100 | ts=5349397621244600
TRADE | AAPL @ 115.255 x100 | ts=5349397621268000
TRADE | AAPL @ 141.641 x100 | ts=5349397621322200
TRADE | AAPL @ 118.011 x100 | ts=5349397621339800
TRADE | AAPL @ 141.481 x100 | ts=5349397621357500
TRADE | AAPL @ 160.615 x100 | ts=5349397621368800
TRADE | AAPL @ 104.849 x100 | ts=5349397621392200
TRADE | AAPL @ 143.049 x100 | ts=5349397621421900
